Código,Descripción
10101502-006,Perro Pastor Aleman
10101502-007,Perro Salchicha
10101502-008,Perro Cocker
10101502-009,Perro Doberman
10101502-010,Perro Bull Terrier
10101502-011,Perro Pit Bull
10101506-001,Caballo
10101506-999,Yegua
10101507-001,Oveja
10101508-001,Cabra
10101511-001,Cerdo
10101512-001,Conejo
10101516-001,Vaca
10101516-002,Toro
10101516-003,Buey
10101601-001,Pollito
10101601-002,Gallina
10101601-999,Gallo
10101602-999,Pato
10101702-001,Tilapia
10101702-002,Carpa
10101702-003,Bagres
10101702-004,Salmon
10101702-005,Pacu
10101702-006,Boga
10101702-9999,Alevines
10111304-001,Bebedero de plastico
10111304-002,Comedero de plastico
10111304-003,Bebedero de cemento para animales
10111304-9999,Comedero de madera para animales
10111306-001,Red para captura de gatos
10111306-002,Baston para captura de perros
10121502-001,Avena a granel
10121502-002,Avena especial
10121503-001,Balanceado para Ganado Vacuno
10121503-002,Balanceado para Ganado Equino
10121503-003,Balanceado para Ovino
10121503-004,Maiz para pienso
10121505-001,Forraje para Bovinos
10121602-001,Alpiste
10121604-001,Balanceado aves
10121604-002,Suplemento Vitaminico / Microelementos
10121702-001,Alimento para peces
10121801-001,Balanceado para perros
10121901-001,Balanceado para ratones
10121901-002,Balanceado para conejo
10122101-001,Balanceado para porcino
10122102-001,Balanceado para cabra
10122103-001,Balanceado para monos
10131506-001,Brete
10131506-002,Corral
10131506-003,Piso para corral de piedra
10131506-004,Paseo de madera
10131601-001,Jaula 
10131601-002,Soporte para Jaula
10131601-003,Bandeja para jaula
10141501-001,Montura
10141501-002,Guali de carpa
10141501-003,Sobrepuesto
10141501-004,Cojinillo
10141501-005,Protector de espuma
10141501-006,Jerga
10141501-007,Encimeras con cinchas
10141501-008,Alforjas
10141601-001,Cabezada para freno
10141603-001,Frenos burro - sin puente
10141603-002,Frenos palanca
10141604-001,Rienda
10141605-001,Bastos 
10141605-002,Estribo
10141606-001,Traila
10141607-001,Argolla para cincha
10141607-002,Argolla para cabezon y cabezada
10141608-001,Espuela
10141609-001,Encimera
10141609-002,Cincha
10141610-001,Bozal - cabezon
10151502-001,Semilla de zanahoria 
10151503-001,Semilla de Apio
10151504-001,Semilla de Pimiento
10151506-001,Semilla de Arveja Cuarentona 
10151506-002,Semilla de Chaucha
10151506-003,Semilla de Habilla Carioca
10151506-004,Semilla de Poroto San Francisco
10151506-005,Kumanda Yvyra´i
10151506-006,Semilla de poroto manteca
10151506-007,Semilla de poroto pyta
10151506-008,Semilla de habilla cuarentona
10151506-9998,Semilla de Arveja Comun Verde
10151506-9999,Semilla de Habilla Negra
10151507-001,Semilla de Pepino
10151508-001,Semilla de Berenjena
10151510-001,Semilla de Ajo Amarante
10151510-9999,Semilla de Ajo Cazador
10151512-001,Semilla de lechuga
10151513-001,Semilla de Maiz Karape Pyta
10151513-002,Semilla de Maiz Blanco (Chipa)
10151513-003,Semilla de Maiz Pichingallo
10151513-004,Semilla de maiz tupi
10151513-005,Semilla de Maiz Dulce
10151514-001,Semilla de melon
10151515-001,Semilla de cebolla de cabeza (bulbo) 
10151515-002,Semilla de cebolla en hoja
10151516-001,Semilla de soja
10151517-001,Semilla de espinaca
10151518-001,Semilla de Tomate
10151519-001,Semilla de Nabo
10151520-001,Semilla de Acelga 
10151522-001,Semilla de Remolacha
10151523-001,Semilla de Coliflor x 250 gr
10151524-001,Semilla de Perejil 
10151525-001,Semilla de brócoli x 250 gr
10151526-001,Plantula de Repollo
10151526-002,Semilla de repollo
10151527-999,Semilla de papa
10151528-001,Semilla de locote 
10151529-001,Semilla de Zapallo 
10151529-002,Semilla de Calabaza
10151529-003,Zapallito
10151530-001,Semilla de Rabanito
10151530-002,Semillas de rabano
10151532-001,Semilla de Sandía x 250 gr.
10151532-002,Semillas de sandia
10151535-001,Semilla de Mani Colorado
10151535-998,Semilla de Mani Valencia
10151535-999,Semilla de Mani Negro
10151595-9999,Plantin de menta piperita
10151597-9999,Plantin de burrito
10151599-9998,Plantines de toronjil
10151604-001,Semilla de mijo
10151605-001,Semilla de avena
10151606-001,Semilla de sesamo (organico)
10151607-9999,Semilla de Chia
10151608-001,Semilla de Tártago
10151609-001,Semilla de locro
10151609-002,Semilla de maiz
10151611-001,Semilla de Sorgo granífero
10151611-002,Sorgo forrajero cultivar facon
10151701-001,Semilla de arroz
10151703-001,Alfalfa para animales
10151704-001,Pasto para sombra
10151704-002,Pasto para forraje
10151704-003,Pasto clavel
10151704-004,Semilla para Pasto para Forraje
10151706-001,Semilla de cana de azucar
10151706-002,Semilla de tartago
10151706-003,Semilla de pina
10151706-004,Planta de Kaa hee
10151706-005,Semilla de Canavalia grano blanco (erecto)
10151706-006,Semilla de Crotalaria juncea (erecto)                         
10151706-007,Semilla de Mucuna
10151706-008,Semilla de Tabaco
10151706-009,Semilla de brocoli
10151706-010,Semilla de lupino
10151706-011,Pinon Manso
10151706-012,Semilla de Kaa hee
10151706-013,Semilla de Oregano
10151706-997,Plantines de acerola
10151706-998,Caña de Azucar
10151706-999,Semillas de Albahaca
10151706-9999,Plantin de Oregano
10151801-001,Pimienta
10151805-001,Semilla de Culantro
10151807-999,Plantines de azafran
10151904-999,Semillas de girasol
10151905-001,Semilla de pensamiento
10151905-002,Semilla de celosia cristata
10151905-003,Semillas de bellis perennis (margarita)
10151905-004,Semillas de boca de leon
10151905-005,Semillas de lupinus
10151905-006,Semillas de phlox drummondii
10151905-007,Semillas de Reina margarita
10151905-008,Semillas de celosía plumocia
10151905-009,Semilla flor amorcito
10151905-010,Semilla de Boton de oro
10151905-011,Semilla de Espuelita
10151905-012,Semilla de Tayate
10151905-013,Semilla de Clavel
10151905-014,Semilla de Begonia
10151905-015,Semilla de Petunia
10151905-016,Semilla Coralito
10151905-017,Semilla de Penacho
10151905-987,Semilla de Vinca
10151905-988,Semilla de Calendula
10151905-989,Semila de verdolaga
10151905-990,Semilla de primavera
10151905-991,Plantines de Hortensia
10151905-992,Plantines de Azucena
10151905-993,Plantines de Gladiolo
10151905-994,Plantines de Bromelia
10151905-995,Plantines de Anturia
10151905-996,Semillas de Orquideas
10151905-997,Semillas de Siempreviva
10151905-998,Semillas de Calceolaria
10151905-999,Semillas de Alathaea Rosea (Malva Real)
10151905-9994,Semillas de zinnia
10151905-9995,Semillas de cosmo
10151905-9996,Semilla de Verbena
10151905-9997,Semilla de Coreopsis
10151905-9998,Semilla de Salvia Coral
10151905-9999,Semilla de Gringuito
10151906-999,Plantines de lirios
10152001-001,Semilla de Guayabo
10152001-002,Semilla de Mango
10152001-003,Semilla de Níspero
10152001-004,Semilla de Naranjo
10152001-005,Semilla de Pomelo
10152001-006,Semilla de Mandarina
10152001-007,Semilla de Durazno
10152001-008,Plantines de guayabo
10152001-009,Plantines de naranjo
10152001-010,Plantines de pomelo
10152001-011,Plantines de mandarina
10152001-012,Semilla de mamon
10152001-013,Plantines de limon
10152001-014,Semilla de Mburucuya
10152001-015,Plantines de mango
10152001-998,Plantines de Frutilla
10152001-999,Semilla de Aguacate
10152001-9999,Plantines de Mburucuya
10152002-001,Tajy (lapacho colorado)
10152002-002,Cedro australiano (toona)
10152002-003,Semilla de Yvyra pyta
10152002-004,Plantines de paraiso
10152002-005,Plantines de yerba mate
10152002-006,Semilla de eucalipto
10152002-007,Semilla de pino
10152002-008,Plantines de eucalipto
10152002-009,Plantines de petereby
10152002-010,Plantines de yvyraro
10152002-011,Plantines de kurupay
10152002-012,Plnatines de Yvyra pyta
10152002-997,Semila de Urundeymi
10152002-998,Semillas de Cyca
10152002-999,Semillas de Grevillea
10152003-001,Plantines de inga
10152003-002,Plantines de castaño
10152201-001,Semilla de algodon
10161507-001,Arbustos de Redodendro
10161507-002,Arbusto de Azalea
10161507-003,Arbusto de Santa Rita 
10161507-004,Arbusto de Cala
10161507-005,Arbusto de Coco Fenix
10161507-006,Arbusto de Coco Raphi
10161507-007,Ligustro
10161507-008,Croto
10161507-009,Ficus
10161507-010,Dracena
10161507-011,Hoja de vista
10161507-012,Encaje
10161507-013,Lasos de amor
10161507-014,Amarantos
10161507-015,Cinias
10161507-016,Crisantemo
10161507-017,Dalia
10161507-019,Lluvia de oro
10161507-999,Costilla de Adan
10161507-9998,Arbustos / Plantas para exterior - Ornamentales
10161507-9999,Arbustos / Plantas para interior - Ornamentales
10161513-001,Arbusto de palmera
10161513-002,Palmera imperial
10161603-001,Orquidea
10161603-002,Tulipán
10161603-003,Narciso
10161603-004,Viudita
10161603-005,Tayete
10161603-006,Incienso
10161603-007,Jacinto
10161705-001,Rosa
10161707-001,Petunia
10161707-002,Beconia
10161707-003,Botón de oro
10161707-004,Clavelina
10161707-005,Azulina
10161707-006,Calendula
10161707-007,Margarita
10161707-008,Labio de señorita
10161707-009,Coralitos
10161707-010,Crosandra
10161707-011,Cala
10161707-012,Perla y coral
10161707-013,Jazmin
10161707-014,Sinecia
10161707-015,Malvon
10161707-016,Flor de dura
10161707-017,Suspiro
10161707-018,Lantana
10161707-019,Vinca
10161707-020,Zinnia
10161707-021,Campanita
10161707-022,Estrella federal
10161707-023,Ligustrina
10161707-024,Planta de incienso
10161707-025,Cinesias
10161707-983,Cebollon
10161707-984,Hoja Maravillosa
10161707-985,Cola de Lagarto
10161707-986,Planta Trepadora
10161707-987,Astenium
10161707-988,Bushina
10161707-989,Palo de Agua
10161707-990,Coquito
10161707-991,Lazo de amor
10161707-992,Pulpo
10161707-993,Agabe Tequila
10161707-994,Planta Rastrera
10161707-995,Dracena
10161707-996,Aralia
10161707-997,Plumerito
10161707-998,Conejito
10161707-999,Salvia Coral
10161801-001,Helecho
10161802-001,Hiedra
10171502-001,Acido Indolbutirico + Zinc + Manganeso Polvo
10171502-9998,Ethileno - Hormona - Liquido
10171502-9999,Cloruro de mepiquat - Hormona - Liquido
10171504-001,Abonos 
10171604-001,Fosfato natural
10171604-002,Fosfato triple
10171604-003,Cal agricola
10171604-004,Fertilizante foliar
10171604-005,Fertilizante organico
10171604-006,Mucuna 
10171604-007,Canavalia
10171604-008,Sustrato de hortaliza HT
10171604-009,Fertilizante quimico
10171604-010,Fertilizante urea
